ID,idade,gênero,gênero_3_TEXT,decl_racial,decl_racial_5_TEXT,escolaridade,escolaridade_transf,área_estudo,curso,cidade_bairro_1,renda,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,verif_contrato_2,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,A casa_1,A casa_2,A casa_3,verif_casa,economicam,felicidade,atratividade_trab,verif_maria,setal1997-funnel
263,43,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Cascais,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1 ano,Maria,NA,NA,60 e 150,NA
264,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,60 e 150,NA
265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,40,Mulher,NA,Branco,NA,Ensino Médio (incompleto),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Fisioterapia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,60 e 150,NA
269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,37,Homem,NA,Pardo,NA,Pós graduação (completa),2,Humanas,Ciência da Informação,Salvador,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,D,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,2,1,3,Não sei,NA,Maria,NA,60 e 150,9
271,20,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Humanas,Economia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
272,32,Homem,NA,Pardo,NA,Pós graduação (incompleta),2,Exatas,Administração,Belém,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,60 e 150,NA
273,32,Homem,NA,Pardo,NA,Pós graduação (incompleta),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,medicina,araras,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,B,NA,NA,20%,NA,NA,Mais suscetível,Mais suscetível,Aumentou,2,3,1,1 ano,NA,NA,Carolina,100 e 50,8
275,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Biológicas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,F,20%,Igual,Menos suscetível,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,Maria,NA,60 e 150,5
276,32,Homem,NA,Branco,NA,Superior (completo),2,Humanas,História e agora Psicologia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,9
277,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Carapicuíba,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,B,NA,NA,20%,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,Maria,NA,NA,60 e 150,6
278,23,Homem,NA,Asiático,NA,Superior (incompleto),2,Saúde,Medicina,Campinas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,3,1,2,1 ano,NA,Carolina,NA,30 e 90,6
279,20,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Economia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,C,NA,Não sei,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,9
280,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,SP,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,B,NA,NA,Não sei,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Carolina,60 e 150,10
281,19,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Economia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,NA,E,Não sei,NA,NA,Igual,Igual,Aumentou,1,3,2,1 ano,NA,NA,Carolina,60 e 150,8
282,19,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,B,NA,NA,Não sei,Mais suscetível,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,6
283,18,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,C,NA,Não sei,NA,NA,Mais suscetível,Igual,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,9
284,31,Mulher,NA,Branco,NA,Superior (completo),2,Artes,DESENHO DE MODA,SÃO PAULO,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,E,10%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,9
285,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,NA,4,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,Não sei,NA,NA,Carolina,60 e 150,6
286,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,psicologia,são paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,E,Não sei,NA,NA,Igual,Igual,Aumentou,1,2,3,Não sei,NA,NA,Carolina,60 e 150,7
287,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,D,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,Não sei,Maria,NA,NA,60 e 150,6
288,19,Homem,NA,Branco,NA,Ensino Médio (completo),1,Humanas,PSICOLOGIA,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,9
289,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,F,30%,Mais suscetível,Mais suscetível,NA,NA,Aumentou,3,2,1,Não sei,Carolina,NA,NA,60 e 150,6
290,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,Santo Andre,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",3,B,NA,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,Não sei,NA,NA,Maria,60 e 150,7
291,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,Sao Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA
292,21,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,psicologia,sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,60 e 150,NA
294,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia e Filosofia,são paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,70 e 120,NA
295,20,Homem,NA,Branco,NA,Ensino Médio (completo),1,Saúde,Psicologia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,3
296,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Biológicas,Biologia,Poá - Sp,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",5,NA,D,NA,20%,NA,NA,Menos suscetível,Menos suscetível,Diminuiu,3,2,1,Não sei,NA,Carolina,NA,60 e 150,7
297,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,Carolina,NA,NA,60 e 150,7
298,27,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Economia,Porto Alegre,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,E,10%,Mais suscetível,Mais suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,100 e 50,7
299,18,Mulher,NA,Branco,NA,Ensino Médio (completo),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,34,Homem,NA,Branco,NA,Superior (completo),2,Humanas,Relações Internacionais,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,B,NA,NA,Não sei,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,Não sei,NA,NA,Carolina,60 e 150,9
301,60,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,D,NA,Não sei,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,Não sei,Maria,NA,NA,60 e 150,9
302,28,Mulher,NA,Asiático,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
303,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,100 e 50,NA
304,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,psicologia,são paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,NA
305,21,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Humanas,PSICOLOGIA,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,A,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,2,1,3,Não sei,Maria,NA,NA,60 e 150,8
306,18,Mulher,NA,Asiático,NA,Ensino Médio (completo),1,Saúde,psicologia,sao paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,60 e 150,NA
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,44,Mulher,NA,Asiático,NA,Pós graduação (completa),2,Humanas,Administração,Londrina,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA
312,18,Homem,NA,Preto,NA,Ensino Médio (completo),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,Santo André,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,60 e 150,NA
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,40,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Humanas,Psicologia,Guaratinguetá-SP,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,NA,D,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,8
318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,49,Homem,NA,Pardo,NA,Superior (completo),2,Humanas,Geografia,Rio de janeiro,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",5,B,NA,NA,20%,Igual,Igual,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,9
320,49,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia e Pedagogia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,NA,F,10%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,1,2,1 ano,NA,Maria,NA,60 e 150,6
321,42,Mulher,NA,Preto,NA,Superior (completo),2,Humanas,Artes Visuais,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,C,NA,30%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,7
322,23,Mulher,NA,Pardo,NA,Superior (completo),2,Humanas,Ciências do consumo,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,NA,NA,E,20%,NA,NA,Menos suscetível,Mais suscetível,Aumentou,1,3,2,1 ano,Maria,NA,NA,60 e 150,4
323,46,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Letras,São paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,1 ano,NA,NA,Carolina,60 e 150,9
324,52,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Musicoterapia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,A,NA,NA,10%,Igual,Menos suscetível,NA,NA,Aumentou,2,1,3,1 ano,NA,Carolina,NA,100 e 50,10
325,21,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,"São Paulo, SP","De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",3,NA,NA,E,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,1,3,2,1 ano,NA,NA,Maria,60 e 150,8
326,43,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,D,NA,20%,NA,NA,Igual,Menos suscetível,Aumentou,1,2,3,1 ano,Maria,NA,NA,60 e 150,9
327,26,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,Carolina,NA,60 e 150,9
328,23,Mulher,NA,Pardo,NA,Superior (completo),2,Saúde,Psicologia,"Cotia, SP",Até 1 salário mínimo (R$ 1045),1,NA,C,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,9
329,38,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,D,NA,20%,NA,NA,Igual,Menos suscetível,Aumentou,3,1,2,Não sei,NA,NA,Carolina,60 e 150,9
330,39,Mulher,NA,Pardo,NA,Pós graduação (incompleta),2,Humanas,Direito,Rio Grande da Serra,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,NA,F,30%,Menos suscetível,Menos suscetível,NA,NA,Diminuiu,2,3,1,1 ano,NA,NA,Maria,60 e 150,7
331,41,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Pedagogia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,Igual,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,NA
332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,45,Mulher,NA,Preto,NA,Pós graduação (completa),2,Humanas,Serviço Social,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,A,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,2,3,1,1 ano,Maria,NA,NA,60 e 150,7
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,74,Mulher,NA,Branco,NA,Superior (completo),2,Artes,Artes Plasticas,Sao Paulo,Nenhuma,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,47,Mulher,NA,Branco,NA,Pós graduação (completa),2,Exatas,Engenharia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA
340,23,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Saúde,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,1 ano,NA,NA,Carolina,90 e 60,7
341,52,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Psicologia,São Paulo,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,49,Homem,NA,Preto,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,60 e 150,NA
347,59,Homem,NA,Pardo,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,20%,NA,NA,Igual,Menos suscetível,Aumentou,2,1,3,1 ano,Maria,NA,NA,90 e 60,5
348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,31,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Enfermagem,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
350,57,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Serviço Social,Rio de Janeiro,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,B,NA,NA,Não sei,NA,NA,Igual,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,4
351,23,Homem,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,NA,E,20%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,10
352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,68,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Fortaleza,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA
354,23,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Marketing,Medellín,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",1,NA,D,NA,20%,Menos suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,9
355,28,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Brasília,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",5,A,NA,NA,20%,NA,NA,Igual,Mais suscetível,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,6
356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,49,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Publicidade e Propaganda,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,C,NA,Não sei,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,3,1,2,2 anos,NA,NA,Maria,60 e 150,7
359,36,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,10%,Mais suscetível,Mais suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,90 e 60,4
360,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,NA,F,20%,NA,NA,Igual,Menos suscetível,Aumentou,3,1,2,1 ano,NA,Maria,NA,60 e 150,7
361,19,Mulher,NA,Preto,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,C,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,5
362,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,A,NA,NA,20%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,1,2,3,Não sei,Maria,NA,NA,70 e 120,6
363,47,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,fisioterapia e educação física,Osasco,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,NA,NA,E,20%,Menos suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,2,1,3,1 ano,NA,NA,Maria,60 e 150,5
364,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,E,Não sei,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,5
365,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Santana de Parnaíba,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",5,NA,D,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,2,1,3,1 ano,Maria,NA,NA,60 e 150,7
366,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,D,NA,20%,NA,NA,Mais suscetível,Igual,Aumentou,3,2,1,1 ano,NA,NA,Carolina,60 e 150,6
